destination_wallet,valid_stamps_count,tx_count,contributor_count,stamp_holders_tx,amount_usd_total,holders_ratio,amount_per_contributor,round
0x0aFD4375b4684DEB94AD7C02dC8C955f8feF1f0f,120.0,89,89,73.0,190.11640095500002,0.8202247191011236,2.136139336573034,gr15
0x0c0144081D76b9B896D9ECe90239f90d8CFDBE78,33.0,95,95,84.0,703.172319086,0.8842105263157894,7.401813885115789,gr15
0x0c338EBDAA2A4bb0e07A4C779C647cd6C803C25E,89.0,206,206,194.0,807.8911475622,0.941747572815534,3.9218016871951455,gr15
0x0d7c34fe3e08bfd7d0fc2d8f4d83e3493a8d6269,3599.0,1498,1498,382.0,269.22641671278,0.25500667556742324,0.17972390968810414,fantom
0x0daeE5E9E04F995A5939Bb66ee9Af6Bf16C4C7b5,3558.0,1981,1981,1551.0,7719.244952808948,0.7829379101463907,3.896640561741014,gr15
0x0e5c6c79f44a19d98dd58d4c22d3a2fbd555eebe,31296.0,10443,10443,3162.0,11280.34340188,0.30278655558747486,1.080182265812506,unicef
0x0ea26051F7657d59418da186137141CeA90D0652,68.0,180,180,144.0,727.182146925,0.8,4.03990081625,gr15
0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,0.0,20,20,14.0,50.5166252,0.7,2.52583126,gr15
0x102EF2536eF4cb29231fBAdBb89c29f0db936231,0.0,22,22,21.0,58.155862395,0.9545454545454546,2.643448290681818,gr15
0x106015DcDb286133Df69e4BbEd2ab3e6DaA88fa3,0.0,46,46,46.0,98.7495826435,1.0,2.1467300574673915,gr15
0x1070F9e5eDD7d77a2817bd71512Ec4Ede358105b,15.0,31,31,30.0,56.923999651,0.967741935483871,1.8362580532580646,gr15
0x10E87b05fe0EDE0BbB0a52aFa96c08618A3E02F0,10468.0,9189,9189,7717.0,20946.861536166154,0.8398084666449015,2.2795583345484984,gr15
0x10e94339279adcDcF0cEecbEfd9dA342e634A5F5,0.0,12,12,12.0,63.986810835779664,1.0,5.332234236314972,gr15
0x10fa00823D930bD4aB3592CdeD68D830da652D22,9.0,63,63,61.0,413.46006455,0.9682539682539683,6.562858167460318,gr15
0x111a5a1fac7cb02f9fb367f8f75912deaaf18c9a,3726.0,1517,1517,435.0,415.01659783934997,0.2867501647989453,0.27357719040168094,fantom
0x112e372bb5ec17c1ea6b1d679ea72afbd2a94404,8714.0,2492,2492,922.0,825.742720807412,0.36998394863563405,0.331357432105703,fantom
0x1208a26FAa0F4AC65B42098419EB4dAA5e580AC6,317.0,300,300,244.0,1084.5032915315,0.8133333333333334,3.615010971771667,gr15
0x12f3701BD8FAFfFf1Ca57919C80F4aBf17e8753a,224.0,477,477,444.0,3721.661528824709,0.9308176100628931,7.802225427305469,gr15
0x133d705a9696882228F6BB7Fe008745aEf7cdC93,15.0,81,81,71.0,1041.5520557900002,0.8765432098765432,12.8586673554321,gr15
0x1352400bf96D73d41E033F5a14416357A5e0B6bF,291.0,22,22,22.0,22.1675395,1.0,1.0076154318181818,gr15
0x1375847014ba64517210cbfe185808232cf45d4a,6200.0,1996,1996,602.0,547.97123243948,0.3016032064128257,0.2745346855909218,fantom
0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,44.0,35,35,33.0,352.2597135256,0.9428571428571428,10.064563243588571,gr15
0x148D59faF10b52063071eDdf4Aaf63A395f2d41c,1729.0,1164,1164,924.0,2159.809371321259,0.7938144329896907,1.8555063327502224,gr15
0x14CB60F6Aca2b2A68d975743baCb33F01f587da5,32.0,357,357,314.0,1960.578624023022,0.8795518207282913,5.491816874014067,gr15
0x16d46098e455A04Cf7F3e43c3b2706614fDbEC85,20.0,131,131,105.0,574.9936847487054,0.8015267175572519,4.389264769074087,gr15
0x16e3cd34D685E9af1a76eccc3FcB5951233379F2,0.0,16,16,15.0,52.21509025,0.9375,3.263443140625,gr15
