index,address,valid_stamps_count,stamp_providers,issuance_date
73,0x4f621f90483a490cff1343ff59e548d9eeec0a51,10,"[""Discord"",""Twitter"",""TwitterTweetGT10"",""Lens"",""SnapshotVotesProvider"",""NFT"",""Github"",""Facebook"",""FacebookProfilePicture"",""Linkedin""]",
74,0x13f87cc861577213e6537f605ad2cc85f1c11414,0,,
75,0x2643c742ce701a8ab2394c0debfdac0d6cbb3010,0,,
76,0xe8560fa7b864d69a4d5a81e58116088773ff8767,2,"[""Ens"",""Lens""]",
77,0x6630d18de043efa99457550a5b38c2f42dc75168,0,,
78,0xd2033db9c5370ac76abd80823b5c5adc097e2fbf,0,,
79,0xd8bb151e34798fb738045ab39694bed66bc568d6,12,"[""TwitterTweetGT10"",""Twitter"",""Google"",""Ens"",""Discord"",""Linkedin"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""Github""]",
80,0x9bde6630773bdcaf111f1cc6cc6e405cfa1d8834,0,,
81,0xc191a29203a83eec8e846c26340f828c68835715,1,"[""GnosisSafe""]",2022-06-17T03:48:09.066Z
82,0x9eb47a8c7d1fc465739597e6ac46b2e86d736d76,8,"[""ZkSync"",""Github"",""Google"",""TwitterTweetGT10"",""Twitter"",""Discord"",""FacebookProfilePicture"",""Facebook""]",
83,0x305267f65d6a0a7327d54f20f727e85f7947eda3,0,,
84,0x78a1ef45dfff3812c56c5676221b593ee254f1da,0,,
85,0xc7651cfb16493b3f8668ba7b520445a868c1902b,0,,
86,0xba810d6177558db87b74c0e552a6cbb26fdb8098,0,,
87,0xd2d41d570d5e851d5aaa7bf150eee2ad61956ba8,0,,
88,0x02dce608f759a97ecbcd6f5b148137e4ee7a20e2,0,,
89,0x1ffbe197c98c9736aecb88a1f8e5a5e34235d497,0,,
90,0x52ad0da262c3d721cbee998724461662701b9f09,0,,
91,0x611614cfcf7f19aca3fcc7a09e4bb77cf5f398f7,0,,
92,0xced951938f1ad00c8353995632f4a1e3d7b3a4e9,0,,
93,0x23eb4ceb24eb8548cf1b16ac4ac50591d9d26565,0,,
94,0xdf32322e2a65ed4be18e8cda98b5b575a69a856e,0,,
95,0x1aa30bfecdec590a90d5b43ca9d717fcae92c564,11,"[""TwitterTweetGT10"",""FiveOrMoreGithubRepos"",""Google"",""Ens"",""Discord"",""SnapshotVotesProvider"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""ZkSync"",""GnosisSafe""]",
96,0x3c81b2fae910bbe79d47b9087fa7ca2a127a4f88,5,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""TwitterFollowerGT500"",""ZkSync""]",
97,0x4281d7425b6b576306722f8172d76d49c15d4ea0,0,,
98,0x2967ca89c96792e938d8475d81fc66c8180490e0,0,,
99,0x15c3d6298743e3115df3794f6da20ec4079d1eee,17,"[""ZkSync"",""NFT"",""SnapshotVotesProvider"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Linkedin"",""Discord"",""Facebook"",""FacebookProfilePicture"",""Github"",""Google"",""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""GitcoinContributorStatistics#totalContributionAmountGte#10"",""GitcoinContributorStatistics#numRoundsContributedToGte#1""]",
100,0xf4402a7faa564dd5ad221d20135e0cf4f239114a,0,,
101,0xf596f9420234ad8ad4486518113680fbf4054420,0,,
102,0xb70195e3287f8aa0efd879d37fbb7341031152f5,0,,
103,0x31d2823c59c4516a8003c4867b636e46ccc53b97,0,,
